emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
-5,-11,-19,24,8,-9,-6,7
6,19,-19,-40,4,3,8,35
-7,5,30,-7,-10,-1,2,-50
-8,-62,19,-23,-9,-3,-3,3
8,40,6,18,6,-3,-9,-46
-6,18,-9,-18,-5,-1,1,22
7,-50,-10,67,0,-1,5,4
-2,106,-2,-45,12,7,18,22
4,-67,22,17,-5,-4,-12,-40
-6,-52,-11,37,1,-3,-12,-16
17,42,-13,-45,15,6,9,10
-34,-74,-19,39,-7,-3,2,1
8,67,4,-11,-15,-3,-10,-9
5,54,21,-12,23,5,-2,5
-9,-33,-9,-13,1,-1,1,-18
12,53,11,65,14,-6,-12,-4
-13,-28,3,11,-15,2,14,28
10,-8,1,-32,6,0,-3,-23
-9,-77,-48,-45,-8,-5,-2,27
2,-2,10,12,18,-1,-3,-20
-3,32,-15,8,14,2,2,9
7,-8,19,-11,-17,-1,2,2
-6,50,16,29,-3,-1,10,38
-8,-37,-11,35,-8,-2,-29,-74
3,65,-12,-70,2,-4,5,60
5,-32,-3,14,8,2,-3,11
2,-50,-14,22,8,0,11,57
-22,8,1,3,-11,-6,-23,-85
11,8,4,53,7,2,3,0
-6,-8,-19,-28,-13,-2,3,11
-1,28,13,36,1,0,-2,-18
22,28,5,-19,-8,4,13,32
-3,28,-6,-26,-13,-2,5,21
-14,-85,-11,5,-20,-9,-12,-41
-3,22,10,55,27,4,-9,-19
-5,-45,-16,-17,-13,-2,1,21
10,29,10,-12,11,2,3,-15
5,-24,-13,-4,-13,-1,9,15
-16,2,3,-37,-13,-5,0,-2
17,52,21,58,21,3,-8,-12
-3,19,-10,-32,0,3,15,46
0,39,4,-46,-2,-2,-16,-34
-12,-19,11,3,-20,-9,-19,-8
-2,-17,-3,-37,11,2,9,5
-3,14,10,17,-3,-2,-4,-15
2,72,2,34,14,2,7,16
14,-49,-16,-48,-24,-5,-3,0
-11,-3,-3,-38,4,1,4,-8
6,72,12,22,-9,-2,-8,-21
-31,-100,-34,36,-1,-1,6,5
13,43,-10,-78,-11,-1,-4,21
2,-1,29,6,-20,-5,-8,-9
-6,-19,-22,11,30,3,-10,-13
4,77,4,7,-8,-4,3,10
3,-59,-9,45,-1,0,15,45
-17,-12,0,-67,5,-6,-11,-45
-7,-40,3,35,-1,-1,-12,-42
-12,-31,-4,-26,-12,-5,-14,-20
-6,63,28,47,10,5,2,-19
8,-58,-56,2,-1,0,6,22
-14,-34,21,-31,-3,1,0,-23
2,19,1,41,-1,-6,0,5
-2,18,-10,-62,4,1,-10,-46
10,-10,-12,24,-12,1,10,23
-7,7,15,-5,0,-6,-8,6
7,-9,-15,-35,-6,-1,12,28
-17,29,1,48,-5,-7,-19,-43
17,-23,-2,-19,38,4,-1,22
2,-18,-7,-14,-14,2,10,0
2,7,11,17,18,2,-5,6
9,-4,12,8,0,-1,18,40
-26,-5,6,42,-6,-5,-2,-29
-4,31,-9,-84,-16,0,-12,-42
11,-39,3,18,3,0,0,-12
-8,-11,-5,-1,14,-1,0,21
4,50,40,37,-1,-1,0,-27
-8,-30,-14,26,-4,0,-1,32
-9,8,18,-5,-1,-1,-5,-10
4,2,-22,2,-6,2,3,-9
2,25,-1,18,3,-1,7,34
13,-7,37,32,3,1,10,5
3,38,-26,-34,-5,0,-14,-36
-19,-34,-11,-12,7,-2,-5,-10
-20,-39,-6,29,-14,-5,-6,11
