timestamp,roll,pitch,yaw
1499875462041328,-0.80509,-0.34342,-0.0593444
1499875462064348,-0.80509,-0.34342,-0.0593444
1499875462086330,-0.805244,-0.343432,-0.0593256
1499875462100330,-0.804275,-0.34297,-0.0594139
1499875462124332,-0.804121,-0.342958,-0.0594328
1499875462146337,-0.804447,-0.342607,-0.059794
1499875462160336,-0.804447,-0.342607,-0.059794
1499875462184337,-0.804298,-0.342161,-0.0597328
1499875462206338,-0.80468,-0.341561,-0.0597993
1499875462220354,-0.80411,-0.341265,-0.0598764
1499875462244339,-0.803601,-0.340887,-0.0597286
1499875462266340,-0.803601,-0.340887,-0.0597286
1499875462281344,-0.803113,-0.340351,-0.0598709
1499875462304342,-0.802535,-0.340273,-0.0601362
1499875462326343,-0.802535,-0.340273,-0.0601362
1499875462340344,-0.802535,-0.340273,-0.0601362
1499875462363364,-0.802489,-0.340041,-0.0605293
1499875462386346,-0.8028,-0.339789,-0.0608304
1499875462407367,-0.802215,-0.339929,-0.0612843
1499875462423366,-0.802197,-0.339812,-0.0613323
1499875462446360,-0.802197,-0.339812,-0.0613323
1499875462467351,-0.80221,-0.339762,-0.0612139
1499875462483352,-0.802735,-0.340042,-0.0614225
1499875462507355,-0.803155,-0.340278,-0.0615433
1499875462527358,-0.803001,-0.340265,-0.0615619
1499875462543373,-0.803805,-0.340117,-0.0616407
1499875462566357,-0.803783,-0.340048,-0.0615101
1499875462587358,-0.803783,-0.340048,-0.0615101
1499875462604360,-0.803937,-0.34006,-0.0614915
1499875462627361,-0.804124,-0.339753,-0.0610476
1499875462647363,-0.804416,-0.339275,-0.0607999
1499875462664365,-0.804962,-0.338685,-0.0605515
1499875462686364,-0.804814,-0.338239,-0.0604901
1499875462715366,-0.804653,-0.337949,-0.0598414
1499875462723367,-0.803873,-0.337781,-0.0596334
1499875462746370,-0.805255,-0.337324,-0.0591907
1499875462767389,-0.805255,-0.337324,-0.0591907
1499875462783370,-0.804691,-0.337196,-0.0593366
1499875462806371,-0.804691,-0.337196,-0.0593366
1499875462827373,-0.805105,-0.337264,-0.0593876
1499875462843374,-0.805618,-0.336993,-0.0595649
1499875462866375,-0.805618,-0.336993,-0.0595649
1499875462895376,-0.804825,-0.33677,-0.0601803
1499875462904377,-0.804187,-0.33656,-0.0607772
1499875462926379,-0.80423,-0.336255,-0.0613062
1499875462949379,-0.805086,-0.3358,-0.0616191
1499875462963382,-0.805403,-0.335502,-0.0620996
1499875462986381,-0.804568,-0.335263,-0.0629987
1499875463009383,-0.803752,-0.33514,-0.0638496
1499875463023385,-0.804953,-0.334945,-0.0640301
1499875463054405,-0.805842,-0.334559,-0.0641772
1499875463069389,-0.806008,-0.334521,-0.0640408
1499875463083388,-0.805011,-0.334591,-0.0644408
1499875463106388,-0.805165,-0.334603,-0.0644226
1499875463129390,-0.805165,-0.334603,-0.0644226
1499875463143407,-0.80513,-0.334585,-0.0644105
1499875463172399,-0.805283,-0.334597,-0.0643923
1499875463188393,-0.805283,-0.334597,-0.0643923
1499875463203395,-0.805283,-0.334597,-0.0643923
1499875463226395,-0.805283,-0.334597,-0.0643923
1499875463248404,-0.805283,-0.334597,-0.0643923
1499875463263400,-0.805296,-0.334547,-0.0642741
1499875463286399,-0.805278,-0.33443,-0.0643222
1499875463308421,-0.805389,-0.334426,-0.0645886
1499875463323401,-0.806748,-0.334074,-0.064385
1499875463346402,-0.806748,-0.334074,-0.064385
1499875463368423,-0.806232,-0.334128,-0.0643154
1499875463389405,-0.805422,-0.334107,-0.0641638
1499875463406408,-0.804641,-0.333937,-0.0639543
1499875463428408,-0.8037,-0.333973,-0.0639513
1499875463449413,-0.8037,-0.333973,-0.0639513
1499875463466409,-0.803118,-0.334327,-0.0642947
1499875463488410,-0.802999,-0.334333,-0.064325
1499875463509431,-0.802931,-0.334634,-0.0647381
1499875463527413,-0.803622,-0.334876,-0.0648115
1499875463548418,-0.803605,-0.334759,-0.0648595
1499875463570434,-0.802497,-0.334833,-0.0649934
1499875463586416,-0.802497,-0.334833,-0.0649934
1499875463608425,-0.802739,-0.334557,-0.0652192
1499875463630428,-0.803466,-0.334377,-0.0655726
1499875463646420,-0.803032,-0.33436,-0.0659359
1499875463668423,-0.803032,-0.33436,-0.0659359
1499875463690443,-0.803252,-0.334016,-0.0660313
1499875463706423,-0.803774,-0.333528,-0.0660203
1499875463729432,-0.803774,-0.333528,-0.0660203
1499875463750426,-0.803774,-0.333528,-0.0660203
1499875463766427,-0.803378,-0.333576,-0.0659205
1499875463788430,-0.802989,-0.333191,-0.06574
1499875463811431,-0.802989,-0.333191,-0.06574
1499875463832442,-0.803259,-0.333582,-0.0659507
1499875463848431,-0.803259,-0.333582,-0.0659507
1499875463871441,-0.803259,-0.333582,-0.0659507
1499875463886438,-0.803259,-0.333582,-0.0659507
1499875463908442,-0.803259,-0.333582,-0.0659507
1499875463932438,-0.803252,-0.334016,-0.0660313
1499875463946438,-0.802959,-0.334493,-0.0662786
