timestamp,x,y,z,w
1499894578196396,-0.267029,-0.588257,0.655457,0.391235
1499894578213419,-0.267029,-0.588257,0.655457,0.391235
1499894578235395,-0.267029,-0.588257,0.655457,0.391235
1499894578256406,-0.267029,-0.588257,0.655457,0.391235
1499894578273416,-0.266968,-0.588257,0.655457,0.391235
1499894578295398,-0.266968,-0.588318,0.655396,0.391235
1499894578316403,-0.266968,-0.588318,0.655396,0.391235
1499894578333410,-0.266968,-0.588318,0.655396,0.391235
1499894578355403,-0.266785,-0.588257,0.655518,0.391235
1499894578376406,-0.266724,-0.588257,0.655518,0.391296
1499894578393404,-0.266724,-0.588257,0.655518,0.391296
1499894578415405,-0.266724,-0.588562,0.655273,0.391235
1499894578436412,-0.266724,-0.588562,0.655273,0.391235
1499894578460409,-0.266602,-0.588501,0.655334,0.391296
1499894578475409,-0.266541,-0.588501,0.655334,0.391357
1499894578496410,-0.266541,-0.588501,0.655334,0.391357
1499894578513414,-0.266541,-0.588501,0.655334,0.391357
1499894578535412,-0.266541,-0.588562,0.655273,0.391357
1499894578558414,-0.266479,-0.588562,0.655273,0.391418
1499894578573414,-0.266479,-0.588562,0.655273,0.391418
1499894578595415,-0.266479,-0.588562,0.655273,0.391418
1499894578618417,-0.266357,-0.58844,0.655396,0.391541
1499894578633419,-0.266357,-0.58844,0.655396,0.391541
1499894578663420,-0.266418,-0.588623,0.655212,0.391418
1499894578678422,-0.266418,-0.588623,0.655212,0.391418
1499894578692421,-0.266296,-0.588379,0.655457,0.391479
1499894578715422,-0.266235,-0.588257,0.655518,0.391602
1499894578738426,-0.266235,-0.588257,0.655518,0.391602
1499894578752425,-0.266296,-0.588318,0.655457,0.391541
1499894578775426,-0.266296,-0.588379,0.655457,0.391541
1499894578798428,-0.266235,-0.588379,0.655457,0.391602
1499894578813428,-0.266235,-0.588379,0.655396,0.391602
1499894578835429,-0.266235,-0.588379,0.655396,0.391602
1499894578858437,-0.266174,-0.588379,0.655396,0.391602
1499894578872432,-0.266174,-0.588379,0.655396,0.391663
1499894578895433,-0.266174,-0.588379,0.655396,0.391663
1499894578918437,-0.266174,-0.588379,0.655396,0.391663
1499894578932434,-0.266174,-0.58844,0.655396,0.391663
1499894578955437,-0.266174,-0.58844,0.655396,0.391663
1499894578978439,-0.266235,-0.588257,0.655457,0.391602
1499894578992440,-0.266235,-0.588257,0.655457,0.391602
1499894579016440,-0.266235,-0.588318,0.655457,0.391602
1499894579038443,-0.266235,-0.588318,0.655457,0.391663
1499894579059459,-0.266235,-0.588318,0.655457,0.391663
1499894579075444,-0.266235,-0.588318,0.655457,0.391663
1499894579098448,-0.266235,-0.588318,0.655457,0.391663
1499894579119459,-0.266235,-0.588318,0.655457,0.391663
1499894579135447,-0.266235,-0.588318,0.655457,0.391663
1499894579165448,-0.266235,-0.588318,0.655457,0.391663
1499894579179450,-0.266235,-0.588318,0.655457,0.391663
1499894579201464,-0.266235,-0.588379,0.655396,0.391663
1499894579218454,-0.266235,-0.588379,0.655396,0.391663
1499894579239456,-0.266174,-0.588379,0.655396,0.391663
1499894579255455,-0.266174,-0.588379,0.655396,0.391663
1499894579278456,-0.266174,-0.588379,0.655396,0.391663
1499894579299470,-0.266174,-0.588379,0.655334,0.391724
1499894579315458,-0.265991,-0.588379,0.655457,0.391724
1499894579338459,-0.26593,-0.588379,0.655457,0.391724
1499894579359459,-0.26593,-0.588379,0.655457,0.391724
1499894579375462,-0.26593,-0.588379,0.655396,0.391785
1499894579398465,-0.265869,-0.588379,0.655396,0.391785
1499894579419477,-0.265869,-0.58844,0.655396,0.391785
1499894579435466,-0.265869,-0.58844,0.655396,0.391785
1499894579458474,-0.265869,-0.58844,0.655396,0.391846
1499894579480466,-0.265869,-0.58844,0.655396,0.391846
1499894579494478,-0.265808,-0.58844,0.655396,0.391846
1499894579518471,-0.265808,-0.58844,0.655396,0.391846
